id,id,name,slug,code,customer,quantity,buying_price,selling_price,quantity_alert,tax,tax_type,notes,product_image,supplier_id,category_id,brand_id,unit_id,created_at,updated_at,margin_percent,margin_amount
,,Meropenem 500mg,,,1,800,,,,,,,,,,,,,,,
,,"Methylergometrine 200mcg/mL, 1mL ampul ",,,1,220,,,,,,,,,,,,,,,
,,Methyldopa 250mg,,,1,3300,,,,,,,,,,,,,,,
,,Methylprednisolone 16mg tablet ,,,1,90,,,,,,,,,,,,,,,
,,Methylprednisolone 4mg tablet ,,,1,210,,,,,,,,,,,,,,,
,,Methylprednisolone 40mg Powder for injection,,,1,80,,,,,,,,,,,,,,,
,,"Metoclopramide 5mg/mL, 2mL amp ",,,1,4100,,,,,,,,,,,,,,,
,,Metronidazole 125mg/5mL 60mL susp ,,,1,144,,,,,,,,,,,,,,,
,,Metronidazole 500mg tablet ,,,1,4300,,,,,,,,,,,,,,,
,,"Metronidazole 5mg/mL, 100mL vial (IV drip)",,,1,3520,,,,,,,,,,,,,,,
,,"Midazolam 5mg/mL, 3mL amp",,,1,0,,,,,,,,,,,,,,,
,,Montelukast 10mg tablet ,,,1,3700,,,,,,,,,,,,,,,
,,Montelukast 5mg chewable tablet ,,,1,2150,,,,,,,,,,,,,,,
,,"Montelukast 4mg, chewable tablet",,,1,650,,,,,,,,,,,,,,,
,,"Morphine 10mg/ml, 1ml",,,1,0,,,,,,,,,,,,,,,
,,Multivitamin+Iron capsule ,,,1,11000,,,,,,,,,,,,,,,
,,Multivitamin+Iron Syrup ,,,1,238,,,,,,,,,,,,,,,
,,Multivitamin+Iron drops,,,1,0,,,,,,,,,,,,,,,
,,"Mupirocin 2%, 5g ointment",,,1,995,,,,,,,,,,,,,,,
,,"Nalbuphine 10mg/ml, 1ml",,,1,10,,,,,,,,,,,,,,,
,,Naloxone,,,1,0,,,,,,,,,,,,,,,
,,"Neostigmine  Methylsulfate 500mcg/ml, 1ml",,,1,0,,,,,,,,,,,,,,,
,,"Norepinephrine  Bitartrate  1mg/1mL, 4mL amp ",,,1,800,,,,,,,,,,,,,,,
,,"Nystatin suspension 100,000 units/ml 30ml",,,1,140,,,,,,,,,,,,,,,
,,Omeprazole 40mg capsule ,,,1,4000,,,,,,,,,,,,,,,
,,Omeprazole 40mg vial ,,,1,7500,,,,,,,,,,,,,,,
,,Omeprazole 20mg,,,1,2500,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
